state_dim,inner_steps,semantic_dim,seed,parameter_count,parameter_mb,rss_mb,training_seconds,inference_latency_ms,mean_recurrent_updates,stage1_in_distribution,stage1_heldout,stage2_in_distribution,stage2_heldout,stage3_in_distribution,stage3_heldout,heldout_transfer_accuracy,in_distribution_transfer_accuracy,compositional_accuracy,bob_expected,bob_predicted,bob_correct,bob_error,unusual_correct,unusual_n,role_accuracy,role_A,role_B,role_C,role_D,held_out_transfer_accuracy_per_parameter_MB,held_out_transfer_accuracy_per_inference_ms,ignored_transfer,reversed_transfer,other_person_quantity,wrong_arithmetic,unrelated
256,4,64,1337,548130,2.091,330.33,468.5,4.004,6.667,100.0,88.75,70.0,56.25,65.0,75.0,65.62,67.5,50.0,7,7,True,exact,2,3,16.67,0.0,66.67,0.0,0.0,0.3139,0.1639,7,29,3,9,7
256,1,64,2024,548130,2.091,332.0,429.6,2.648,1.667,100.0,95.0,77.5,53.75,72.5,65.0,59.38,75.0,68.75,7,3,False,reversed_transfer,1,3,16.67,33.33,33.33,0.0,0.0,0.284,0.2242,1,38,2,19,5
256,1,64,1337,548130,2.091,328.58,453.6,2.526,1.667,100.0,81.25,62.5,53.75,72.5,61.25,57.5,67.5,46.25,7,7,True,exact,3,3,33.33,66.67,66.67,0.0,0.0,0.275,0.2277,3,39,0,21,5
32,1,64,1337,122978,0.4691,320.44,269.5,2.429,1.667,100.0,93.75,62.5,56.25,67.5,57.5,56.88,65.0,53.75,7,3,False,reversed_transfer,1,3,25.0,66.67,33.33,0.0,0.0,1.2124,0.2342,4,40,6,13,6
64,2,64,1337,146850,0.5602,325.61,367.2,2.046,3.333,100.0,86.25,70.0,55.0,65.0,55.0,55.0,67.5,53.75,7,3,False,reversed_transfer,1,3,33.33,100.0,33.33,0.0,0.0,0.9818,0.2689,0,31,6,27,8
256,4,64,2024,548130,2.091,330.65,474.8,2.981,6.667,100.0,93.75,72.5,50.0,72.5,60.0,55.0,72.5,58.75,7,3,False,reversed_transfer,1,3,25.0,0.0,66.67,0.0,33.33,0.263,0.1845,3,35,2,22,10
256,4,64,4242,548130,2.091,197.87,478.4,3.286,6.667,100.0,80.0,65.0,47.5,75.0,60.0,53.75,70.0,56.25,7,7,True,exact,1,3,25.0,66.67,33.33,0.0,0.0,0.2571,0.1636,2,30,13,21,8
32,2,64,1337,122978,0.4691,325.92,288.0,1.555,3.333,100.0,80.0,67.5,50.0,67.5,55.0,52.5,67.5,48.75,7,7,True,exact,2,3,33.33,66.67,66.67,0.0,0.0,1.1191,0.3376,3,36,4,25,8
128,2,64,1337,231458,0.8829,323.4,457.9,3.116,3.333,100.0,82.5,62.5,52.5,72.5,50.0,51.25,67.5,46.25,7,3,False,reversed_transfer,1,3,16.67,0.0,66.67,0.0,0.0,0.5804,0.1644,6,32,3,24,13
32,4,64,1337,122978,0.4691,325.29,302.9,1.492,6.667,100.0,81.25,60.0,41.25,70.0,58.75,50.0,65.0,40.0,7,3,False,reversed_transfer,0,3,33.33,33.33,66.67,0.0,33.33,1.0658,0.3352,6,34,5,27,8
256,2,64,1337,548130,2.091,330.03,521.2,2.822,3.333,100.0,87.5,70.0,47.5,70.0,52.5,50.0,70.0,52.5,7,7,True,exact,0,3,25.0,33.33,66.67,0.0,0.0,0.2391,0.1772,5,31,7,23,14
64,4,64,1337,146850,0.5602,325.45,395.5,2.086,6.667,100.0,82.5,65.0,43.75,55.0,55.0,49.38,60.0,47.5,7,3,False,reversed_transfer,1,3,33.33,66.67,66.67,0.0,0.0,0.8814,0.2366,5,27,2,29,18
128,4,64,1337,231458,0.8829,327.38,501.3,3.075,6.667,100.0,93.75,65.0,48.75,75.0,47.5,48.12,70.0,46.25,7,3,False,reversed_transfer,0,3,25.0,33.33,66.67,0.0,0.0,0.5451,0.1565,4,44,5,20,10
256,1,64,4242,548130,2.091,325.28,499.2,2.957,1.667,100.0,81.25,75.0,46.25,57.5,50.0,48.12,66.25,43.75,7,7,True,exact,0,3,33.33,66.67,33.33,0.0,33.33,0.2302,0.1627,2,36,9,27,9
64,1,64,1337,146850,0.5602,324.32,334.7,2.315,1.667,100.0,88.75,70.0,41.25,60.0,52.5,46.88,65.0,48.75,7,7,True,exact,2,3,25.0,66.67,33.33,0.0,0.0,0.8368,0.2025,1,43,2,27,12
128,1,64,1337,231458,0.8829,329.38,337.8,2.609,1.667,100.0,76.25,62.5,38.75,72.5,55.0,46.88,67.5,48.75,7,3,False,reversed_transfer,1,3,33.33,33.33,66.67,0.0,33.33,0.5309,0.1797,3,45,0,30,7
32,1,64,4242,122978,0.4691,326.39,318.7,1.346,1.667,100.0,76.25,62.5,46.25,67.5,40.0,43.12,65.0,68.75,7,7,True,exact,1,3,16.67,0.0,66.67,0.0,0.0,0.9193,0.3203,2,34,11,27,17
32,1,64,2024,122978,0.4691,302.28,411.5,2.561,1.667,100.0,63.75,67.5,36.25,70.0,43.75,40.0,68.75,53.75,7,7,True,exact,1,3,25.0,33.33,66.67,0.0,0.0,0.8527,0.1562,3,39,2,41,11
